region	n	trait	results	abbreviation	category	color
region_chr19_18299052_19766662	38	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr19_54099074_55216712	44	UKB_20022_Birth_weight	spredixcan_sqtl	BW_UKB	Anthropometric	#404040
region_chr19_610729_2098397	2	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr1_111199115_112730684	33	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_182786221_184626379	38	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr1_34334157_37083582	40	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr1_41509656_43292786	4	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_44503511_46433829	31	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr21_39110976_40017600	2	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr22_17813322_19924835	1	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr22_29255810_31043932	117	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr2_143761915_145688002	3	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr2_177688455_180448012	2	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_191108631_194996440	1	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_sqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr2_198446401_200711561	5	pgc.scz2	spredixcan_sqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr2_31327584_33138710	1	UKB_2395_3_Hair_or_balding_pattern_Pattern_3	spredixcan_sqtl	BLDP3_UKB	Hair morphology	#808000
region_chr2_43082452_44086664	4	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr3_126496100_128476018	15	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr3_128476018_130525891	43	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr3_140235755_141620255	38	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr3_168863172_171247120	1	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr3_49279539_51797999	309	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_sqtl	IBD	Immune	#40A0A0
region_chr3_56399879_58171792	131	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr4_107894192_110335411	1	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr4_54563389_55681477	1	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr4_82451440_83878503	38	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr6_25684359_26791023	11	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr6_26791023_28050041	17	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr6_28949831_29770194	63	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr6_28949831_29770194	1	UKB_20002_1464_self_reported_rheumatoid_arthritis	spredixcan_sqtl	RA_UKBS	Immune	#40A0A0
region_chr6_29770194_30830391	435	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr6_29770194_30830391	356	UKB_20002_1111_self_reported_asthma	spredixcan_sqtl	ATH_UKBS	Allergy	#FFFF00
region_chr6_29770194_30830391	747	UKB_20002_1453_self_reported_psoriasis	spredixcan_sqtl	PSO_UKBS	Immune	#40A0A0
region_chr6_32714887_33268720	275	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr6_33268720_35487979	129	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr6_35487979_37604820	2	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr6_93731457_96645635	39	UKB_20002_1265_self_reported_migraine	spredixcan_sqtl	MIGR_UKBS	Psychiatric-neurologic	#0000A0
region_chr7_151014417_152552721	12	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_2022763_2732593	15	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr7_43119475_44724229	1	UKB_20002_1473_self_reported_high_cholesterol	spredixcan_sqtl	HC_UKBS	Cardiometabolic	#004000
region_chr7_80258753_82393370	13	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr8_143155464_145078481	38	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr8_23039544_24817205	2	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr9_136047132_136605890	24	IBD.EUR.Ulcerative_Colitis	spredixcan_sqtl	UC	Immune	#40A0A0
region_chr10_101189482_102620653	84	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr10_26599755_29034307	69	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr10_79116992_80654923	1	IBD.EUR.Crohns_Disease	spredixcan_sqtl	CD	Immune	#40A0A0
region_chr11_106650168_107973474	1	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr11_107973474_108566310	13	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr11_112588765_114387006	1	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr11_46984586_49844498	147	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr11_46984586_49844498	170	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr11_59013076_62456299	65	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr11_74701306_77086163	54	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr12_109898914_112825713	281	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr15_80568637_83591716	1	SSGAC_Education_Years_Pooled	spredixcan_sqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr16_71020125_72901251	4	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr16_87613743_88974757	2	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr17_38653091_40721152	24	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr17_41743558_43694719	27	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr17_44979537_47798656	142	Astle_et_al_2016_Sum_basophil_neutrophil_counts	spredixcan_sqtl	BNC	Blood	#C00000
region_chr17_80863788_82076532	51	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr18_3891658_5834181	1	UKB_1180_Morning_or_evening_person_chronotype	spredixcan_sqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr18_45342141_46719283	2	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr19_40478694_41625199	281	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr19_6684874_8282629	1	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr1_210614406_212668988	7	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_31973084_34334157	2	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr1_34334157_37083582	42	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr1_51248054_53760589	17	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr21_33853161_35152076	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr22_38911889_40149793	2	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr22_43318194_44599428	9	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr2_101205867_102072305	7	UKB_20002_1111_self_reported_asthma	spredixcan_sqtl	ATH_UKBS	Allergy	#FFFF00
region_chr2_10133_1777250	6	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	spredixcan_sqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr2_10133_1777250	343	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_102072305_102971757	11	IBD.EUR.Inflammatory_Bowel_Disease	spredixcan_sqtl	IBD	Immune	#40A0A0
region_chr2_176498908_177688455	3	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr2_24464049_26672117	23	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr2_26672117_28375910	37	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr2_26672117_28375910	11	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr3_10977979_13029299	10	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr3_140235755_141620255	33	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr3_140235755_141620255	21	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr3_46616010_47685722	69	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_47685722_49279539	174	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr4_14270377_15145822	6	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	spredixcan_sqtl	BLDP2_UKB	Hair morphology	#808000
region_chr4_53011266_54563389	2	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr4_54563389_55681477	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr5_43983397_50867564	6	BCAC_ER_negative_BreastCancer_EUR	spredixcan_sqtl	ERNBC	Cancer	#A0A0A0
region_chr6_129539886_130614309	28	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_160159465_161748532	44	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_24852047_25684359	6	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_28949831_29770194	40	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr6_31603441_32714887	56	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr6_43788432_45438826	2	Astle_et_al_2016_Monocyte_count	spredixcan_sqtl	MC	Blood	#C00000
region_chr6_82417432_84500271	1	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr6_86359782_88112422	65	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr7_150143569_151014417	32	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr7_72409900_73920272	13	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr7_73920272_76829247	285	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr8_108235944_109472085	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr8_7295557_9297184	1	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr9_4884926_6557589	19	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr10_61581937_64034354	1	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr10_94461486_96062600	1	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr11_133130151_134336099	1	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr11_13351577_15721006	9	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr11_44672249_46984586	49	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_59013076_62456299	39	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_70855_1192365	132	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr12_55272053_57155077	140	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	spredixcan_sqtl	HAY_UKB	Immune	#40A0A0
region_chr12_89288345_91672378	3	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr14_93858939_95284530	7	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr15_73336373_76106283	177	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr15_78223711_80568637	28	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr16_52001911_53348660	3	BCAC_ER_negative_BreastCancer_EUR	spredixcan_sqtl	ERNBC	Cancer	#A0A0A0
region_chr16_65904663_68807460	33	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr17_15115780_16509028	198	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr17_18953007_21387045	8	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr17_34585779_36141651	22	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr17_80863788_82076532	5	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr18_40104403_42312683	4	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr19_43358303_44239955	70	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr1_107867043_109761309	3	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr1_153208353_154797927	5	CARDIoGRAM_C4D_CAD_ADDITIVE	spredixcan_sqtl	CAD	Cardiometabolic	#004000
region_chr1_182786221_184626379	70	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_37083582_38266175	21	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr1_46433829_47536904	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	spredixcan_sqtl	BLDP4_UKB	Hair morphology	#808000
region_chr20_50623121_53856010	3	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr22_32268999_34098925	94	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr22_38911889_40149793	1	RA_OKADA_TRANS_ETHNIC	spredixcan_sqtl	RA	Immune	#40A0A0
region_chr2_158720570_160913222	8	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr2_158720570_160913222	5	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr2_214709071_216850938	1	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr2_23118512_24464049	277	Astle_et_al_2016_Lymphocyte_counts	spredixcan_sqtl	LC	Blood	#C00000
region_chr2_26672117_28375910	115	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr2_87738988_88855013	5	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_135738064_137652241	53	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_184051895_185350467	1	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr3_32310223_33214100	1	UKB_20002_1111_self_reported_asthma	spredixcan_sqtl	ATH_UKBS	Allergy	#FFFF00
region_chr3_51797999_54047363	530	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr4_99757203_102300199	1	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr5_178986463_179974244	26	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr5_36433852_38802308	51	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr5_81185652_82729829	3	BCAC_Overall_BreastCancer_EUR	spredixcan_sqtl	BC	Cancer	#A0A0A0
region_chr5_97979897_99925288	16	Astle_et_al_2016_Eosinophil_counts	spredixcan_sqtl	EC	Blood	#C00000
region_chr6_103535520_105608858	1	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr6_105608858_107129102	2	UKB_2395_2_Hair_or_balding_pattern_Pattern_2	spredixcan_sqtl	BLDP2_UKB	Hair morphology	#808000
region_chr6_108143176_109983044	213	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr6_117351809_118641952	18	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr6_26791023_28050041	5	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr6_28050041_28949831	7	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr6_28050041_28949831	41	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr6_29770194_30830391	233	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr6_35487979_37604820	18	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr8_58815541_61416540	3	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr9_136047132_136605890	220	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr10_98908643_101189482	5	IBD.EUR.Ulcerative_Colitis	spredixcan_sqtl	UC	Immune	#40A0A0
region_chr11_10930480_12542682	2	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_117876395_119344766	1	UKB_20002_1111_self_reported_asthma	spredixcan_sqtl	ATH_UKBS	Allergy	#FFFF00
region_chr11_134336099_135076558	1	UKB_21001_Body_mass_index_BMI	spredixcan_sqtl	BMI_UKB	Anthropometric	#404040
region_chr11_46984586_49844498	352	UKB_20002_1065_self_reported_hypertension	spredixcan_sqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr11_55315181_58690022	3	UKB_20127_Neuroticism_score	spredixcan_sqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr11_64037097_66131160	446	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr11_64037097_66131160	2	UKB_6152_8_diagnosed_by_doctor_Asthma	spredixcan_sqtl	ATH_UKB	Immune	#40A0A0
region_chr12_55272053_57155077	61	UKB_20002_1265_self_reported_migraine	spredixcan_sqtl	MIGR_UKBS	Psychiatric-neurologic	#0000A0
region_chr12_69432762_70564207	20	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_95627009_96715061	1	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_21121243_22549721	1	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr14_53531113_54766963	5	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr15_62923023_64812469	7	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr16_13060580_14370145	1	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr16_2714828_3951195	10	Astle_et_al_2016_Granulocyte_count	spredixcan_sqtl	GC	Blood	#C00000
region_chr16_3951195_5068344	5	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr17_38653091_40721152	710	Astle_et_al_2016_Myeloid_white_cell_count	spredixcan_sqtl	MWBC	Blood	#C00000
region_chr18_11905441_14440800	32	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr18_45342141_46719283	12	Astle_et_al_2016_White_blood_cell_count	spredixcan_sqtl	WBC	Blood	#C00000
region_chr19_2098397_3019662	34	Astle_et_al_2016_Red_blood_cell_count	spredixcan_sqtl	RBC	Blood	#C00000
region_chr19_46646825_48778970	1	UKB_23099_Body_fat_percentage	spredixcan_sqtl	FAT_UKB	Anthropometric	#404040
region_chr1_115337972_118296444	2	Astle_et_al_2016_Reticulocyte_count	spredixcan_sqtl	RET	Blood	#C00000
region_chr1_154797927_156366342	11	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_247181216_248945267	22	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr1_27075376_29689034	2	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr1_44503511_46433829	24	Astle_et_al_2016_Neutrophil_count	spredixcan_sqtl	NC	Blood	#C00000
region_chr22_42294812_43318194	126	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_26672117_28375910	68	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	spredixcan_sqtl	NEC	Blood	#C00000
region_chr2_26672117_28375910	140	UKB_20002_1466_self_reported_gout	spredixcan_sqtl	GOUT_UKBS	Skeletal system disease	#B0B0FF
region_chr2_30240845_31327584	4	Astle_et_al_2016_Platelet_count	spredixcan_sqtl	PLT	Blood	#C00000
region_chr2_44086664_46255495	23	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_55976210_57201965	1	UKB_50_Standing_height	spredixcan_sqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr2_94660727_98378738	351	Astle_et_al_2016_Sum_eosinophil_basophil_counts	spredixcan_sqtl	EBC	Blood	#C00000
region_chr2_98378738_101205867	11	SSGAC_Education_Years_Pooled	spredixcan_sqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr3_122255250_123798921	1	UKB_20022_Birth_weight	spredixcan_sqtl	BW_UKB	Anthropometric	#404040
region_chr3_47685722_49279539	661	Astle_et_al_2016_High_light_scatter_reticulocyte_count	spredixcan_sqtl	HRET	Blood	#C00000
region_chr3_49279539_51797999	213	IBD.EUR.Crohns_Disease	spredixcan_sqtl	CD	Immune	#40A0A0
region_chr4_12321410_14270377	1	GIANT_HEIGHT	spredixcan_sqtl	HEIGHT	Anthropometric	#404040
region_chr4_185987936_187551827	4	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	spredixcan_sqtl	DVT_UKBS	Cardiometabolic	#004000
